Visible scores are gray RGB luminance diagnostics, not like-for-like ABI C01/C02/C03 reflectance validation. vis uses intent=display; vis_sensor_fast_gray uses unscaled model extinction and neutral display shaping. Both raw RGB dumps precede the final PNG exposure/tonemap. The legacy display diagnostic clips reflectance to [0,1]; sensor-fast-gray scores unclipped simulation and observation, retaining glint above one. IR uses the official GOES-R ABI band-13 FM4 SRF. Both-cloudy isolates collocated cloud columns, but does not remove cloud-structure forecast error.
hour  metric                                           baseline    candidate          B-A
12Z   vis.bias                                          -0.0039      -0.0039      +0.0000
12Z   vis.both_cloudy_bias                                  n/a      -0.0011          n/a
12Z   vis.both_cloudy_corr                                  n/a      +0.5367          n/a
12Z   vis.both_cloudy_count                                 n/a  +77990.0000          n/a
12Z   vis.both_cloudy_fraction                              n/a      +0.4330          n/a
12Z   vis.both_cloudy_mae                                   n/a      +0.0146          n/a
12Z   vis.clear_bias                                    +0.0013      +0.0013      +0.0000
12Z   vis.cloudy_bias                                   -0.0068      -0.0068      +0.0000
12Z   vis.cloudy_corr                                   +0.4432      +0.4432      +0.0000
12Z   vis.corr                                          +0.3996      +0.3996      -0.0000
12Z   vis.mae                                           +0.0140      +0.0140      -0.0000
12Z   vis.mean_obs                                      +0.0208      +0.0208      +0.0000
12Z   vis.mean_sim                                      +0.0169      +0.0169      +0.0000
12Z   vis.observed_only_cloudy_bias                         n/a      -0.0182          n/a
12Z   vis.observed_only_cloudy_corr                         n/a      +0.6253          n/a
12Z   vis.observed_only_cloudy_count                        n/a  +38651.0000          n/a
12Z   vis.observed_only_cloudy_fraction                     n/a      +0.2146          n/a
12Z   vis.observed_only_cloudy_mae                          n/a      +0.0182          n/a
12Z   vis.synthetic_only_cloudy_bias                        n/a      +0.0109          n/a
12Z   vis.synthetic_only_cloudy_corr                        n/a      +0.4923          n/a
12Z   vis.synthetic_only_cloudy_count                       n/a  +28492.0000          n/a
12Z   vis.synthetic_only_cloudy_fraction                    n/a      +0.1582          n/a
12Z   vis.synthetic_only_cloudy_mae                         n/a      +0.0162          n/a
12Z   vis_sensor_fast_gray.bias                             n/a      +0.0087          n/a
12Z   vis_sensor_fast_gray.both_cloudy_bias                 n/a      +0.0176          n/a
12Z   vis_sensor_fast_gray.both_cloudy_corr                 n/a      +0.5558          n/a
12Z   vis_sensor_fast_gray.both_cloudy_count                n/a  +77990.0000          n/a
12Z   vis_sensor_fast_gray.both_cloudy_fraction             n/a      +0.4330          n/a
12Z   vis_sensor_fast_gray.both_cloudy_mae                  n/a      +0.0258          n/a
12Z   vis_sensor_fast_gray.clear_bias                       n/a      +0.0130          n/a
12Z   vis_sensor_fast_gray.cloudy_bias                      n/a      +0.0062          n/a
12Z   vis_sensor_fast_gray.cloudy_corr                      n/a      +0.4321          n/a
12Z   vis_sensor_fast_gray.corr                             n/a      +0.3832          n/a
12Z   vis_sensor_fast_gray.mae                              n/a      +0.0218          n/a
12Z   vis_sensor_fast_gray.mean_obs                         n/a      +0.0208          n/a
12Z   vis_sensor_fast_gray.mean_sim                         n/a      +0.0295          n/a
12Z   vis_sensor_fast_gray.observed_only_cloudy_bias          n/a      -0.0169          n/a
12Z   vis_sensor_fast_gray.observed_only_cloudy_corr          n/a      +0.6569          n/a
12Z   vis_sensor_fast_gray.observed_only_cloudy_count          n/a  +38651.0000          n/a
12Z   vis_sensor_fast_gray.observed_only_cloudy_fraction          n/a      +0.2146          n/a
12Z   vis_sensor_fast_gray.observed_only_cloudy_mae          n/a      +0.0170          n/a
12Z   vis_sensor_fast_gray.synthetic_only_cloudy_bias          n/a      +0.0359          n/a
12Z   vis_sensor_fast_gray.synthetic_only_cloudy_corr          n/a      +0.5051          n/a
12Z   vis_sensor_fast_gray.synthetic_only_cloudy_count          n/a  +28492.0000          n/a
12Z   vis_sensor_fast_gray.synthetic_only_cloudy_fraction          n/a      +0.1582          n/a
12Z   vis_sensor_fast_gray.synthetic_only_cloudy_mae          n/a      +0.0380          n/a
15Z   ir.bias                                           +8.7298      +8.7298      +0.0000
15Z   ir.both_cloudy_bias                                   n/a      +9.5917          n/a
15Z   ir.both_cloudy_corr                                   n/a      +0.1319          n/a
15Z   ir.both_cloudy_count                                  n/a  +53568.0000          n/a
15Z   ir.both_cloudy_fraction                               n/a      +0.2974          n/a
15Z   ir.both_cloudy_mae                                    n/a     +21.7245          n/a
15Z   ir.clear_bias                                     -2.6430      -2.6430      +0.0000
15Z   ir.cloudy_bias                                   +16.8204     +16.8204      +0.0000
15Z   ir.cold235_obs                                    +0.0435      +0.0435      +0.0000
15Z   ir.cold235_sim                                    +0.0318      +0.0318      +0.0000
15Z   ir.coldest_obs                                  +196.3311    +196.3311      +0.0000
15Z   ir.coldest_sim                                  +211.0591    +211.0591      +0.0000
15Z   ir.corr                                           +0.1162      +0.1162      +0.0000
15Z   ir.fss27km                                        +0.1999      +0.1999      +0.0000
15Z   ir.fss81km                                        +0.2909      +0.2909      +0.0000
15Z   ir.mae                                           +17.0143     +17.0143      +0.0000
15Z   ir.observed_only_cloudy_bias                          n/a     +24.7535          n/a
15Z   ir.observed_only_cloudy_corr                          n/a      +0.1135          n/a
15Z   ir.observed_only_cloudy_count                         n/a  +48812.0000          n/a
15Z   ir.observed_only_cloudy_fraction                      n/a      +0.2710          n/a
15Z   ir.observed_only_cloudy_mae                           n/a     +24.7535          n/a
15Z   ir.synthetic_only_cloudy_bias                         n/a     -11.5564          n/a
15Z   ir.synthetic_only_cloudy_corr                         n/a      -0.0395          n/a
15Z   ir.synthetic_only_cloudy_count                        n/a  +33145.0000          n/a
15Z   ir.synthetic_only_cloudy_fraction                     n/a      +0.1840          n/a
15Z   ir.synthetic_only_cloudy_mae                          n/a     +13.8549          n/a
15Z   vis.bias                                          -0.1066      -0.1058      +0.0008
15Z   vis.both_cloudy_bias                                  n/a      -0.1372          n/a
15Z   vis.both_cloudy_corr                                  n/a      +0.2034          n/a
15Z   vis.both_cloudy_count                                 n/a  +53568.0000          n/a
15Z   vis.both_cloudy_fraction                              n/a      +0.2974          n/a
15Z   vis.both_cloudy_mae                                   n/a      +0.1717          n/a
15Z   vis.clear_bias                                    -0.0289      -0.0278      +0.0011
15Z   vis.cloudy_bias                                   -0.1626      -0.1620      +0.0006
15Z   vis.cloudy_corr                                   +0.1724      +0.1694      -0.0030
15Z   vis.corr                                          +0.2088      +0.2050      -0.0038
15Z   vis.mae                                           +0.1261      +0.1254      -0.0008
15Z   vis.mean_obs                                      +0.1612      +0.1612      +0.0000
15Z   vis.mean_sim                                      +0.0546      +0.0554      +0.0008
15Z   vis.observed_only_cloudy_bias                         n/a      -0.1893          n/a
15Z   vis.observed_only_cloudy_corr                         n/a      +0.1411          n/a
15Z   vis.observed_only_cloudy_count                        n/a  +48812.0000          n/a
15Z   vis.observed_only_cloudy_fraction                     n/a      +0.2710          n/a
15Z   vis.observed_only_cloudy_mae                          n/a      +0.1893          n/a
15Z   vis.synthetic_only_cloudy_bias                        n/a      -0.0103          n/a
15Z   vis.synthetic_only_cloudy_corr                        n/a      +0.3360          n/a
15Z   vis.synthetic_only_cloudy_count                       n/a  +33145.0000          n/a
15Z   vis.synthetic_only_cloudy_fraction                    n/a      +0.1840          n/a
15Z   vis.synthetic_only_cloudy_mae                         n/a      +0.0610          n/a
15Z   vis_sensor_fast_gray.bias                             n/a      -0.0404          n/a
15Z   vis_sensor_fast_gray.both_cloudy_bias                 n/a      -0.0175          n/a
15Z   vis_sensor_fast_gray.both_cloudy_corr                 n/a      +0.2354          n/a
15Z   vis_sensor_fast_gray.both_cloudy_count                n/a  +53568.0000          n/a
15Z   vis_sensor_fast_gray.both_cloudy_fraction             n/a      +0.2974          n/a
15Z   vis_sensor_fast_gray.both_cloudy_mae                  n/a      +0.1551          n/a
15Z   vis_sensor_fast_gray.clear_bias                       n/a      +0.0248          n/a
15Z   vis_sensor_fast_gray.cloudy_bias                      n/a      -0.0897          n/a
15Z   vis_sensor_fast_gray.cloudy_corr                      n/a      +0.1823          n/a
15Z   vis_sensor_fast_gray.corr                             n/a      +0.2140          n/a
15Z   vis_sensor_fast_gray.mae                              n/a      +0.1202          n/a
15Z   vis_sensor_fast_gray.mean_obs                         n/a      +0.1612          n/a
15Z   vis_sensor_fast_gray.mean_sim                         n/a      +0.1208          n/a
15Z   vis_sensor_fast_gray.observed_only_cloudy_bias          n/a      -0.1690          n/a
15Z   vis_sensor_fast_gray.observed_only_cloudy_corr          n/a      +0.0734          n/a
15Z   vis_sensor_fast_gray.observed_only_cloudy_count          n/a  +48812.0000          n/a
15Z   vis_sensor_fast_gray.observed_only_cloudy_fraction          n/a      +0.2710          n/a
15Z   vis_sensor_fast_gray.observed_only_cloudy_mae          n/a      +0.1690          n/a
15Z   vis_sensor_fast_gray.synthetic_only_cloudy_bias          n/a      +0.0943          n/a
15Z   vis_sensor_fast_gray.synthetic_only_cloudy_corr          n/a      +0.3012          n/a
15Z   vis_sensor_fast_gray.synthetic_only_cloudy_count          n/a  +33145.0000          n/a
15Z   vis_sensor_fast_gray.synthetic_only_cloudy_fraction          n/a      +0.1840          n/a
15Z   vis_sensor_fast_gray.synthetic_only_cloudy_mae          n/a      +0.1171          n/a
18Z   ir.bias                                          +12.2282     +12.2282      +0.0000
18Z   ir.both_cloudy_bias                                   n/a     +10.8027          n/a
18Z   ir.both_cloudy_corr                                   n/a      +0.1809          n/a
18Z   ir.both_cloudy_count                                  n/a  +55180.0000          n/a
18Z   ir.both_cloudy_fraction                               n/a      +0.3064          n/a
18Z   ir.both_cloudy_mae                                    n/a     +23.8284          n/a
18Z   ir.clear_bias                                     -1.1228      -1.1228      +0.0000
18Z   ir.cloudy_bias                                   +20.0246     +20.0246      +0.0000
18Z   ir.cold235_obs                                    +0.0730      +0.0730      +0.0000
18Z   ir.cold235_sim                                    +0.0307      +0.0307      +0.0000
18Z   ir.coldest_obs                                  +192.1315    +192.1315      +0.0000
18Z   ir.coldest_sim                                  +213.0086    +213.0086      +0.0000
18Z   ir.corr                                           +0.1872      +0.1872      +0.0000
18Z   ir.fss27km                                        +0.1218      +0.1218      +0.0000
18Z   ir.fss81km                                        +0.1640      +0.1640      +0.0000
18Z   ir.mae                                           +19.7672     +19.7672      +0.0000
18Z   ir.observed_only_cloudy_bias                          n/a     +29.2212          n/a
18Z   ir.observed_only_cloudy_corr                          n/a      +0.2415          n/a
18Z   ir.observed_only_cloudy_count                         n/a  +55332.0000          n/a
18Z   ir.observed_only_cloudy_fraction                      n/a      +0.3072          n/a
18Z   ir.observed_only_cloudy_mae                           n/a     +29.2212          n/a
18Z   ir.synthetic_only_cloudy_bias                         n/a     -11.0281          n/a
18Z   ir.synthetic_only_cloudy_corr                         n/a      +0.1026          n/a
18Z   ir.synthetic_only_cloudy_count                        n/a  +25633.0000          n/a
18Z   ir.synthetic_only_cloudy_fraction                     n/a      +0.1423          n/a
18Z   ir.synthetic_only_cloudy_mae                          n/a     +13.8769          n/a
18Z   vis.bias                                          +0.2594      -0.0770      -0.3364
18Z   vis.both_cloudy_bias                                  n/a      -0.1381          n/a
18Z   vis.both_cloudy_corr                                  n/a      +0.0703          n/a
18Z   vis.both_cloudy_count                                 n/a  +55180.0000          n/a
18Z   vis.both_cloudy_fraction                              n/a      +0.3064          n/a
18Z   vis.both_cloudy_mae                                   n/a      +0.2061          n/a
18Z   vis.clear_bias                                    +0.3550      +0.0363      -0.3187
18Z   vis.cloudy_bias                                   +0.2439      -0.1352      -0.3791
18Z   vis.cloudy_corr                                   -0.0304      +0.0229      +0.0533
18Z   vis.corr                                          +0.0231      +0.0758      +0.0527
18Z   vis.mae                                           +0.4002      +0.1559      -0.2443
18Z   vis.mean_obs                                      +0.2226      +0.2226      +0.0000
18Z   vis.mean_sim                                      +0.4821      +0.1456      -0.3364
18Z   vis.observed_only_cloudy_bias                         n/a      -0.1322          n/a
18Z   vis.observed_only_cloudy_corr                         n/a      -0.0670          n/a
18Z   vis.observed_only_cloudy_count                        n/a  +55332.0000          n/a
18Z   vis.observed_only_cloudy_fraction                     n/a      +0.3072          n/a
18Z   vis.observed_only_cloudy_mae                          n/a      +0.1928          n/a
18Z   vis.synthetic_only_cloudy_bias                        n/a      +0.0555          n/a
18Z   vis.synthetic_only_cloudy_corr                        n/a      -0.0787          n/a
18Z   vis.synthetic_only_cloudy_count                       n/a  +25633.0000          n/a
18Z   vis.synthetic_only_cloudy_fraction                    n/a      +0.1423          n/a
18Z   vis.synthetic_only_cloudy_mae                         n/a      +0.1068          n/a
18Z   vis_sensor_fast_gray.bias                             n/a      -0.0223          n/a
18Z   vis_sensor_fast_gray.both_cloudy_bias                 n/a      -0.0444          n/a
18Z   vis_sensor_fast_gray.both_cloudy_corr                 n/a      +0.0913          n/a
18Z   vis_sensor_fast_gray.both_cloudy_count                n/a  +55180.0000          n/a
18Z   vis_sensor_fast_gray.both_cloudy_fraction             n/a      +0.3064          n/a
18Z   vis_sensor_fast_gray.both_cloudy_mae                  n/a      +0.2039          n/a
18Z   vis_sensor_fast_gray.clear_bias                       n/a      +0.0799          n/a
18Z   vis_sensor_fast_gray.cloudy_bias                      n/a      -0.0753          n/a
18Z   vis_sensor_fast_gray.cloudy_corr                      n/a      +0.0571          n/a
18Z   vis_sensor_fast_gray.corr                             n/a      +0.1155          n/a
18Z   vis_sensor_fast_gray.mae                              n/a      +0.1639          n/a
18Z   vis_sensor_fast_gray.mean_obs                         n/a      +0.2226          n/a
18Z   vis_sensor_fast_gray.mean_sim                         n/a      +0.2003          n/a
18Z   vis_sensor_fast_gray.observed_only_cloudy_bias          n/a      -0.1061          n/a
18Z   vis_sensor_fast_gray.observed_only_cloudy_corr          n/a      -0.0684          n/a
18Z   vis_sensor_fast_gray.observed_only_cloudy_count          n/a  +55332.0000          n/a
18Z   vis_sensor_fast_gray.observed_only_cloudy_fraction          n/a      +0.3072          n/a
18Z   vis_sensor_fast_gray.observed_only_cloudy_mae          n/a      +0.1900          n/a
18Z   vis_sensor_fast_gray.synthetic_only_cloudy_bias          n/a      +0.1384          n/a
18Z   vis_sensor_fast_gray.synthetic_only_cloudy_corr          n/a      +0.1063          n/a
18Z   vis_sensor_fast_gray.synthetic_only_cloudy_count          n/a  +25633.0000          n/a
18Z   vis_sensor_fast_gray.synthetic_only_cloudy_fraction          n/a      +0.1423          n/a
18Z   vis_sensor_fast_gray.synthetic_only_cloudy_mae          n/a      +0.1623          n/a
21Z   ir.bias                                          +13.4963     +13.4963      +0.0000
21Z   ir.both_cloudy_bias                                   n/a      +8.9589          n/a
21Z   ir.both_cloudy_corr                                   n/a      +0.1043          n/a
21Z   ir.both_cloudy_count                                  n/a  +59667.0000          n/a
21Z   ir.both_cloudy_fraction                               n/a      +0.3313          n/a
21Z   ir.both_cloudy_mae                                    n/a     +29.7090          n/a
21Z   ir.clear_bias                                     -1.8241      -1.8241      +0.0000
21Z   ir.cloudy_bias                                   +21.0716     +21.0716      +0.0000
21Z   ir.cold235_obs                                    +0.1204      +0.1204      +0.0000
21Z   ir.cold235_sim                                    +0.0693      +0.0693      +0.0000
21Z   ir.coldest_obs                                  +192.9866    +192.9866      +0.0000
21Z   ir.coldest_sim                                  +206.4168    +206.4168      +0.0000
21Z   ir.corr                                           +0.1862      +0.1862      +0.0000
21Z   ir.fss27km                                        +0.2096      +0.2096      +0.0000
21Z   ir.fss81km                                        +0.2772      +0.2772      +0.0000
21Z   ir.mae                                           +24.1078     +24.1078      +0.0000
21Z   ir.observed_only_cloudy_bias                          n/a     +33.0276          n/a
21Z   ir.observed_only_cloudy_corr                          n/a      +0.1445          n/a
21Z   ir.observed_only_cloudy_count                         n/a  +60449.0000          n/a
21Z   ir.observed_only_cloudy_fraction                      n/a      +0.3356          n/a
21Z   ir.observed_only_cloudy_mae                           n/a     +33.0276          n/a
21Z   ir.synthetic_only_cloudy_bias                         n/a     -13.7242          n/a
21Z   ir.synthetic_only_cloudy_corr                         n/a      +0.2360          n/a
21Z   ir.synthetic_only_cloudy_count                        n/a  +21984.0000          n/a
21Z   ir.synthetic_only_cloudy_fraction                     n/a      +0.1221          n/a
21Z   ir.synthetic_only_cloudy_mae                          n/a     +16.8907          n/a
21Z   vis.bias                                          -0.1136      -0.1133      +0.0003
21Z   vis.both_cloudy_bias                                  n/a      -0.1389          n/a
21Z   vis.both_cloudy_corr                                  n/a      +0.1685          n/a
21Z   vis.both_cloudy_count                                 n/a  +59667.0000          n/a
21Z   vis.both_cloudy_fraction                              n/a      +0.3313          n/a
21Z   vis.both_cloudy_mae                                   n/a      +0.2013          n/a
21Z   vis.clear_bias                                    -0.0055      -0.0051      +0.0004
21Z   vis.cloudy_bias                                   -0.1664      -0.1661      +0.0003
21Z   vis.cloudy_corr                                   +0.1761      +0.1763      +0.0002
21Z   vis.corr                                          +0.1819      +0.1819      +0.0001
21Z   vis.mae                                           +0.1501      +0.1498      -0.0003
21Z   vis.mean_obs                                      +0.1809      +0.1809      +0.0000
21Z   vis.mean_sim                                      +0.0673      +0.0676      +0.0003
21Z   vis.observed_only_cloudy_bias                         n/a      -0.1930          n/a
21Z   vis.observed_only_cloudy_corr                         n/a      +0.1269          n/a
21Z   vis.observed_only_cloudy_count                        n/a  +60449.0000          n/a
21Z   vis.observed_only_cloudy_fraction                     n/a      +0.3356          n/a
21Z   vis.observed_only_cloudy_mae                          n/a      +0.1930          n/a
21Z   vis.synthetic_only_cloudy_bias                        n/a      +0.0448          n/a
21Z   vis.synthetic_only_cloudy_corr                        n/a      +0.2256          n/a
21Z   vis.synthetic_only_cloudy_count                       n/a  +21984.0000          n/a
21Z   vis.synthetic_only_cloudy_fraction                    n/a      +0.1221          n/a
21Z   vis.synthetic_only_cloudy_mae                         n/a      +0.0847          n/a
21Z   vis_sensor_fast_gray.bias                             n/a      -0.0530          n/a
21Z   vis_sensor_fast_gray.both_cloudy_bias                 n/a      -0.0278          n/a
21Z   vis_sensor_fast_gray.both_cloudy_corr                 n/a      +0.1048          n/a
21Z   vis_sensor_fast_gray.both_cloudy_count                n/a  +59667.0000          n/a
21Z   vis_sensor_fast_gray.both_cloudy_fraction             n/a      +0.3313          n/a
21Z   vis_sensor_fast_gray.both_cloudy_mae                  n/a      +0.1982          n/a
21Z   vis_sensor_fast_gray.clear_bias                       n/a      +0.0451          n/a
21Z   vis_sensor_fast_gray.cloudy_bias                      n/a      -0.1009          n/a
21Z   vis_sensor_fast_gray.cloudy_corr                      n/a      +0.1480          n/a
21Z   vis_sensor_fast_gray.corr                             n/a      +0.1652          n/a
21Z   vis_sensor_fast_gray.mae                              n/a      +0.1477          n/a
21Z   vis_sensor_fast_gray.mean_obs                         n/a      +0.1809          n/a
21Z   vis_sensor_fast_gray.mean_sim                         n/a      +0.1280          n/a
21Z   vis_sensor_fast_gray.observed_only_cloudy_bias          n/a      -0.1731          n/a
21Z   vis_sensor_fast_gray.observed_only_cloudy_corr          n/a      +0.1639          n/a
21Z   vis_sensor_fast_gray.observed_only_cloudy_count          n/a  +60449.0000          n/a
21Z   vis_sensor_fast_gray.observed_only_cloudy_fraction          n/a      +0.3356          n/a
21Z   vis_sensor_fast_gray.observed_only_cloudy_mae          n/a      +0.1731          n/a
21Z   vis_sensor_fast_gray.synthetic_only_cloudy_bias          n/a      +0.1503          n/a
21Z   vis_sensor_fast_gray.synthetic_only_cloudy_corr          n/a      +0.1148          n/a
21Z   vis_sensor_fast_gray.synthetic_only_cloudy_count          n/a  +21984.0000          n/a
21Z   vis_sensor_fast_gray.synthetic_only_cloudy_fraction          n/a      +0.1221          n/a
21Z   vis_sensor_fast_gray.synthetic_only_cloudy_mae          n/a      +0.1630          n/a
Regression limits: |candidate bias| - |baseline bias| <= 0.5 K for clear IR at every requested hour; <= 0.02 for display-intent RGB clear bias at 21Z (15:00 local for this case).
Other metrics are reported for review; these two gates alone do not establish physical improvement.
PASS: declared regression gates; n/a means unavailable, never zero.
